time_s,id,kind,role,alive,x_m,y_m,z_m,yaw_rad
8.0,F1,drone,friendly,True,336.6797321824095,381.15714542868477,70.0,-1.1655110997800828
8.0,F2,drone,friendly,True,363.29722780329814,375.67166657471324,70.0,-1.227676318176965
8.0,F3,drone,friendly,True,361.75835466220485,338.25570756497257,70.0,-1.3443523228745204
8.0,F4,drone,friendly,True,365.13961630653364,304.6001990397611,70.0,-1.6398753219510946
8.0,F5,drone,friendly,True,381.4324306242764,290.05792758912867,70.0,-1.7896046329544546
8.0,F6,drone,friendly,True,645.3131848844015,237.21579271045982,70.0,2.7723116284429037
8.0,H1,drone,hostile_ground,True,346.2626679693733,238.83288453826708,80.0,0.6260601839882183
8.0,H2,drone,hostile_ground,False,663.5666559857021,230.89911024617862,80.0,2.512223505010872
8.0,H3,drone,hostile_air,True,662.0673275750237,415.5948791413799,95.0,-2.757008091001574
8.0,H4,drone,hostile_ground,False,272.26379093321646,539.1876261071394,80.0,-0.6932008243504244
8.5,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
8.5,F1,drone,friendly,True,345.34558065952956,363.1740928294645,70.0,-1.1217416126761537
8.5,F2,drone,friendly,True,370.772162164746,356.0470555902365,70.0,-1.2068666720048906
8.5,F3,drone,friendly,True,367.1576251044074,318.2137786578438,70.0,-1.3076449812494955
8.5,F4,drone,friendly,True,365.30145128036395,285.31056037293087,70.0,-1.562406787741125
8.5,F5,drone,friendly,True,376.35343434985896,269.68137741878695,70.0,-1.8150755047334874
8.5,F6,drone,friendly,True,625.8044967125534,244.98824958159105,70.0,2.7624576987724487
8.5,H1,drone,hostile_ground,False,359.2281456181802,248.2081919646019,80.0,0.6260601840794499
8.5,H2,drone,hostile_ground,False,663.5666559857021,230.89911024617862,80.0,2.512223505010872
8.5,H3,drone,hostile_air,True,646.089497604673,409.128036986751,95.0,-2.757008091004774
8.5,H4,drone,hostile_ground,False,272.26379093321646,539.1876261071394,80.0,-0.6932008243504244
9.0,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
9.0,F1,drone,friendly,True,364.5973970348199,362.99623385704234,70.0,-0.009238292588748354
9.0,F2,drone,friendly,True,391.7707447415644,356.29104281232037,70.0,0.011618700554623577
9.0,F3,drone,friendly,True,387.3538578676748,323.9680972249658,70.0,0.2775655284934158
9.0,F4,drone,friendly,True,382.34968231399193,296.5555176051795,70.0,0.5830920393979007
9.0,F5,drone,friendly,True,395.7189937110029,277.80388384414664,70.0,0.39714379695657465
9.0,F6,drone,friendly,True,618.7165450988676,264.7559237473104,70.0,1.9150789721209471
9.0,H1,drone,hostile_ground,False,359.2281456181802,248.2081919646019,80.0,0.6260601840794499
9.0,H2,drone,hostile_ground,False,663.5666559857021,230.89911024617862,80.0,2.512223505010872
9.0,H3,drone,hostile_air,True,629.8677960595203,402.5624906286794,95.0,-2.7570080910057047
9.0,H4,drone,hostile_ground,False,272.26379093321646,539.1876261071394,80.0,-0.6932008243504244
